date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:04	41034/41034	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Nov%202019%2022:14:16%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/products/adrenalin_potenza_re001_1_medium.png?v=1400671567	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/products/adrenalin_potenza_re001_1_mediumb98c.png	(from https://tm-shopify048-wheels.myshopify.com/)
23:14:05	46338/46338	---MCZ	200	added ('OK')	text/html	etag:cacheable:4e81868bb0fb2d6e6001bbe8f0fd82e5	https://tm-shopify048-wheels.myshopify.com/products/bridgestone-turanza-er300-ecopia	C:/Users/asus/Desktop/dw/aa/tm-shopify048-wheels.myshopify.com/products/bridgestone-turanza-er300-ecopia.html	(from https://tm-shopify048-wheels.myshopify.com/)
23:14:08	45482/45482	---MCZ	200	added ('OK')	text/html	etag:cacheable:1406b5937f8932a8053a3e02f49bbb8c	https://tm-shopify048-wheels.myshopify.com/products/ats-cup	C:/Users/asus/Desktop/dw/aa/tm-shopify048-wheels.myshopify.com/products/ats-cup.html	(from https://tm-shopify048-wheels.myshopify.com/)
23:14:13	51244/51244	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Nov%202019%2022:14:24%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/products/bridgestone_turanza_er300_ecopia_1_medium.png?v=1400671602	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/products/bridgestone_turanza_er300_ecopia_1_medium5df4.png	(from https://tm-shopify048-wheels.myshopify.com/)
23:14:13	76477/76477	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Nov%202019%2022:14:20%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/products/ats_classic_1_medium.png?v=1400671573	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/products/ats_classic_1_mediumcc78.png	(from https://tm-shopify048-wheels.myshopify.com/)
23:14:13	169989/169989	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Nov%202019%2022:14:08%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/t/2/assets/slide3_image.jpg?0	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/t/2/assets/slide3_imagecfcd.jpg	(from https://tm-shopify048-wheels.myshopify.com/)
23:14:15	46110/46110	---MCZ	200	added ('OK')	text/html	etag:cacheable:518e0a47a1b7196237257fe88a1721d8	https://tm-shopify048-wheels.myshopify.com/products/bridgestone-potenza-re050a	C:/Users/asus/Desktop/dw/aa/tm-shopify048-wheels.myshopify.com/products/bridgestone-potenza-re050a.html	(from https://tm-shopify048-wheels.myshopify.com/)
23:14:15	48541/48541	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Nov%202019%2022:14:28%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/products/ats_cup_1_medium.png?v=1400671579	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/products/ats_cup_1_medium2515.png	(from https://tm-shopify048-wheels.myshopify.com/)
23:14:17	45793/45793	---MCZ	200	added ('OK')	text/html	etag:cacheable:ef3cbe935ae7643517fc68adee25784c	https://tm-shopify048-wheels.myshopify.com/products/ats-dtm-competition	C:/Users/asus/Desktop/dw/aa/tm-shopify048-wheels.myshopify.com/products/ats-dtm-competition.html	(from https://tm-shopify048-wheels.myshopify.com/)
23:14:18	38520/38520	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Nov%202019%2022:14:33%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/products/bridgestone_potenza_re050a_1_medium.png?v=1400671590	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/products/bridgestone_potenza_re050a_1_medium9e96.png	(from https://tm-shopify048-wheels.myshopify.com/)
